iter	Passed	Remaining
0	141	141559
1	142	71253
2	143	47719
3	144	35945
4	145	28865
5	145	24146
6	146	20772
7	147	18248
8	147	16282
9	148	14721
10	149	13460
11	150	12383
12	151	11472
13	151	10689
14	152	10020
15	153	9430
16	154	8905
17	154	8446
18	155	8033
19	156	7663
20	157	7334
21	158	7031
22	159	6755
23	159	6496
24	160	6257
25	161	6040
26	162	5841
27	162	5650
28	163	5474
29	164	5311
30	165	5160
31	165	5016
32	166	4878
33	167	4751
34	168	4634
35	168	4520
36	169	4416
37	170	4316
38	171	4220
39	172	4129
40	172	4039
41	173	3954
42	174	3873
43	174	3795
44	175	3719
45	175	3647
46	176	3577
47	176	3509
48	177	3445
49	178	3385
50	178	3327
51	179	3271
52	180	3219
53	180	3169
54	181	3118
55	181	3067
56	182	3018
57	182	2970
58	183	2930
59	184	2885
60	184	2842
61	185	2800
62	185	2761
63	186	2724
64	186	2687
65	187	2651
66	187	2616
67	188	2581
68	188	2547
69	189	2514
70	189	2483
71	190	2453
72	190	2424
73	191	2394
74	191	2365
75	192	2338
76	192	2312
77	193	2285
78	193	2259
79	194	2234
80	194	2210
81	195	2186
82	195	2160
83	196	2138
84	196	2116
85	197	2094
86	197	2073
87	198	2052
88	198	2032
89	199	2013
90	199	1993
91	200	1975
92	200	1959
93	202	1952
94	203	1935
95	204	1924
96	205	1910
97	205	1894
98	206	1878
99	206	1862
100	207	1846
101	207	1831
102	208	1815
103	208	1800
104	209	1786
105	210	1771
106	210	1757
107	211	1744
108	211	1731
109	212	1717
110	212	1704
111	213	1691
112	213	1677
113	214	1664
114	214	1651
115	215	1639
116	215	1625
117	215	1613
118	216	1601
119	216	1590
120	217	1579
121	217	1568
122	218	1558
123	219	1547
124	219	1536
125	219	1525
126	220	1514
127	220	1503
128	221	1493
129	221	1483
130	222	1473
131	222	1463
132	222	1453
133	223	1444
134	224	1435
135	224	1426
136	226	1425
137	226	1416
138	227	1407
139	227	1398
140	228	1390
141	228	1380
142	228	1371
143	229	1363
144	229	1355
145	230	1347
146	230	1339
147	231	1331
148	231	1324
149	232	1316
150	232	1309
151	233	1302
152	233	1294
153	234	1287
154	234	1280
155	235	1273
156	235	1265
157	236	1259
158	236	1252
159	237	1246
160	237	1238
161	238	1231
162	238	1224
163	238	1217
164	239	1211
165	239	1205
166	240	1199
167	241	1193
168	241	1187
169	242	1182
170	242	1176
171	243	1170
172	243	1164
173	244	1159
174	244	1153
175	245	1147
176	245	1141
177	246	1136
178	246	1130
179	246	1125
180	247	1120
181	248	1115
182	248	1110
183	249	1105
184	249	1100
185	250	1094
186	250	1089
187	251	1084
188	251	1079
189	251	1074
190	252	1069
191	252	1064
192	253	1059
193	253	1054
194	254	1049
195	254	1045
196	255	1040
197	255	1035
198	256	1030
199	256	1026
200	256	1021
201	257	1016
202	257	1012
203	258	1007
204	258	1003
205	259	999
206	259	995
207	260	990
208	260	986
209	261	982
210	261	978
211	262	974
212	262	970
213	262	965
214	263	961
215	263	957
216	264	953
217	264	949
218	265	945
219	265	941
220	266	937
221	266	933
222	266	930
223	267	926
224	267	922
225	268	918
226	268	914
227	269	911
228	269	908
229	270	904
230	270	901
231	271	898
232	271	894
233	272	891
234	272	887
235	273	884
236	273	880
237	273	877
238	274	873
239	274	870
240	275	866
241	275	863
242	276	860
243	276	857
244	277	854
245	277	851
246	278	847
247	278	845
248	279	842
249	279	839
250	280	836
251	280	833
252	281	830
253	281	827
254	282	824
255	282	821
256	282	818
257	283	815
258	283	812
259	284	809
260	284	806
261	285	803
262	285	801
263	286	798
264	286	795
265	287	792
266	287	789
267	288	786
268	288	783
269	288	781
270	289	778
271	289	775
272	290	772
273	290	769
274	290	766
275	291	764
276	291	761
277	292	759
278	292	756
279	293	754
280	293	751
281	294	749
282	294	746
283	295	744
284	295	741
285	296	739
286	296	736
287	296	733
288	297	731
289	297	728
290	298	726
291	298	724
292	299	721
293	299	719
294	300	716
295	300	714
296	300	712
297	301	710
298	302	708
299	302	706
300	303	703
301	303	701
302	304	699
303	304	697
304	304	694
305	305	692
306	305	690
307	306	688
308	307	686
309	307	684
310	308	682
311	308	680
312	309	678
313	309	676
314	310	674
315	310	672
316	311	670
317	311	668
318	312	666
319	312	664
320	313	662
321	313	660
322	314	658
323	314	656
324	315	654
325	315	652
326	316	650
327	316	648
328	317	646
329	317	644
330	318	643
331	318	641
332	319	639
333	319	637
334	320	635
335	320	633
336	321	631
337	321	629
338	322	627
339	322	626
340	323	624
341	323	622
342	324	621
343	324	619
344	325	617
345	325	615
346	326	613
347	326	611
348	327	610
349	327	608
350	328	606
351	328	604
352	329	603
353	329	601
354	329	599
355	330	597
356	330	596
357	331	594
358	331	592
359	332	591
360	333	589
361	333	587
362	334	586
363	334	584
364	335	582
365	335	581
366	336	579
367	336	577
368	337	576
369	337	575
370	338	573
371	338	571
372	339	570
373	339	568
374	340	567
375	340	565
376	341	564
377	341	562
378	342	560
379	342	559
380	343	557
381	343	556
382	344	554
383	344	552
384	345	551
385	345	549
386	346	548
387	346	547
388	347	545
389	347	543
390	348	542
391	348	540
392	349	539
393	349	537
394	350	536
395	350	534
396	351	533
397	351	531
398	352	530
399	352	529
400	353	527
401	353	526
402	354	524
403	354	523
404	355	521
405	355	520
406	356	518
407	356	517
408	357	516
409	357	514
410	358	513
411	358	511
412	359	510
